Origin,Destination,Shipment Date,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Delayed,Delivery Difference (Days)
Mumbai,Jaipur,2024-02-29,Container,1654,Fog,Moderate,1,3
Kolkata,Jaipur,2023-08-12,Trailer,1051,Clear,Heavy,1,5
Delhi,Hyderabad,2023-09-22,Trailer,1893,Storm,Light,1,3
Kolkata,Pune,2023-03-23,Truck,1782,Clear,Light,0,0
Ahmedabad,Mumbai,2023-01-28,Trailer,1290,Rain,Moderate,1,4
Chennai,Kolkata,2023-01-31,Lorry,777,Fog,Moderate,1,5
Delhi,Bangalore,2024-04-12,Lorry,599,Clear,Light,0,0
Jaipur,Ahmedabad,2023-07-10,Trailer,1119,Clear,Light,0,0
Kolkata,Ahmedabad,2024-05-25,Trailer,1009,Fog,Moderate,1,3
Pune,Ahmedabad,2023-06-28,Lorry,951,Fog,Moderate,1,3
Kolkata,Bangalore,2023-03-18,Trailer,1356,Clear,Light,0,0
Chennai,Bangalore,2023-11-08,Lorry,1507,Clear,Moderate,1,1
Lucknow,Mumbai,2023-07-14,Lorry,807,Clear,Moderate,1,1
Chennai,Delhi,2023-01-23,Lorry,1596,Rain,Light,1,5
Delhi,Chennai,2024-03-24,Lorry,348,Clear,Heavy,1,2
Mumbai,Ahmedabad,2023-05-23,Lorry,1681,Clear,Heavy,1,7
Hyderabad,Kolkata,2024-04-09,Trailer,1743,Clear,Heavy,1,2
Pune,Kolkata,2023-06-14,Trailer,741,Clear,Moderate,1,1
Jaipur,Ahmedabad,2023-05-16,Truck,1727,Rain,Moderate,1,2
Delhi,Hyderabad,2023-05-20,Container,762,Clear,Moderate,1,1
Pune,Kolkata,2024-02-04,Container,587,Clear,Heavy,1,-2
Jaipur,Delhi,2024-01-29,Trailer,1462,Storm,Moderate,1,4
Bangalore,Kolkata,2023-11-13,Truck,545,Clear,Light,1,2
Bangalore,Chennai,2023-04-11,Container,1350,Rain,Moderate,1,2
Kolkata,Bangalore,2023-11-11,Truck,952,Clear,Light,0,0
Kolkata,Chennai,2023-09-22,Truck,1335,Clear,Moderate,1,1
Mumbai,Chennai,2023-02-14,Truck,240,Clear,Moderate,1,1
Chennai,Pune,2024-03-21,Container,1950,Fog,Light,1,2
Pune,Lucknow,2023-12-22,Trailer,449,Clear,Light,0,0
Mumbai,Kolkata,2023-01-27,Truck,1004,Clear,Moderate,1,1
Jaipur,Mumbai,2024-05-19,Lorry,377,Clear,Light,0,0
Chennai,Ahmedabad,2023-01-06,Container,1567,Clear,Light,0,0
Hyderabad,Kolkata,2023-03-30,Truck,660,Fog,Moderate,1,3
Mumbai,Lucknow,2023-09-11,Truck,646,Clear,Moderate,1,1
Lucknow,Hyderabad,2024-02-14,Truck,1986,Clear,Moderate,1,5
Mumbai,Chennai,2024-02-08,Truck,734,Fog,Moderate,1,3
Ahmedabad,Hyderabad,2023-05-22,Truck,1700,Clear,Moderate,1,1
Ahmedabad,Delhi,2023-03-27,Lorry,1496,Clear,Light,1,5
Delhi,Hyderabad,2023-03-05,Trailer,339,Storm,Light,1,6
Kolkata,Delhi,2023-03-29,Truck,1556,Clear,Light,1,4
Bangalore,Hyderabad,2023-03-15,Trailer,1279,Clear,Moderate,1,1
Lucknow,Delhi,2024-03-05,Container,718,Clear,Light,0,0
Kolkata,Hyderabad,2023-03-18,Truck,1975,Clear,Heavy,1,2
Delhi,Bangalore,2023-03-12,Truck,1881,Clear,Light,0,0
Kolkata,Ahmedabad,2024-01-29,Lorry,449,Clear,Moderate,1,1
Pune,Chennai,2023-03-31,Lorry,338,Clear,Moderate,1,1
Delhi,Ahmedabad,2023-09-10,Truck,408,Rain,Moderate,1,2
Ahmedabad,Kolkata,2023-04-26,Truck,1651,Rain,Light,1,1
Mumbai,Pune,2023-08-07,Trailer,1926,Clear,Moderate,1,1
Ahmedabad,Chennai,2023-03-23,Trailer,1552,Clear,Moderate,1,1
Bangalore,Delhi,2024-03-22,Truck,1872,Storm,Moderate,1,4
Ahmedabad,Pune,2024-03-20,Trailer,727,Clear,Light,1,5
Ahmedabad,Chennai,2024-02-08,Truck,336,Clear,Light,0,0
Mumbai,Hyderabad,2024-04-05,Truck,823,Clear,Heavy,1,2
Ahmedabad,Chennai,2023-01-29,Truck,780,Clear,Light,1,4
Pune,Hyderabad,2023-11-15,Truck,406,Fog,Heavy,1,4
Ahmedabad,Mumbai,2024-05-01,Lorry,1154,Clear,Light,0,0
Hyderabad,Lucknow,2024-02-29,Container,510,Clear,Moderate,1,1
Ahmedabad,Jaipur,2023-11-01,Trailer,1665,Clear,Light,0,0
Hyderabad,Pune,2024-03-27,Container,535,Clear,Moderate,1,1
Mumbai,Jaipur,2024-01-21,Lorry,981,Storm,Light,1,3
Kolkata,Delhi,2023-04-16,Lorry,1679,Clear,Moderate,1,6
Hyderabad,Lucknow,2023-12-01,Container,680,Clear,Light,0,0
Bangalore,Delhi,2023-09-16,Container,1995,Clear,Moderate,1,1
Jaipur,Pune,2024-03-18,Trailer,1839,Clear,Moderate,1,1
Bangalore,Mumbai,2023-05-27,Trailer,1796,Rain,Light,1,1
Kolkata,Lucknow,2024-05-04,Trailer,1910,Clear,Light,1,2
Lucknow,Chennai,2023-04-03,Trailer,1879,Fog,Moderate,1,3
Delhi,Bangalore,2023-08-14,Container,1849,Clear,Light,0,0
Pune,Hyderabad,2023-08-10,Lorry,445,Clear,Moderate,1,1
Lucknow,Hyderabad,2023-06-18,Truck,1490,Fog,Moderate,1,6
Bangalore,Chennai,2023-12-21,Lorry,1217,Clear,Light,0,0
Jaipur,Ahmedabad,2023-03-08,Container,1357,Clear,Light,0,0
Mumbai,Bangalore,2024-04-16,Container,762,Clear,Heavy,1,2
Mumbai,Delhi,2024-03-15,Container,795,Fog,Moderate,1,3
Lucknow,Kolkata,2023-06-29,Lorry,866,Clear,Light,0,0
Jaipur,Delhi,2023-05-31,Truck,1897,Fog,Moderate,1,5
Pune,Chennai,2023-02-14,Trailer,889,Rain,Heavy,1,3
Jaipur,Pune,2023-10-23,Container,339,Clear,Light,0,0
Lucknow,Ahmedabad,2024-01-16,Container,814,Clear,Light,0,0
Delhi,Jaipur,2024-03-15,Trailer,842,Clear,Moderate,1,1
Hyderabad,Ahmedabad,2024-02-13,Lorry,873,Clear,Moderate,1,5
Hyderabad,Kolkata,2023-08-06,Trailer,1855,Storm,Light,1,6
Delhi,Kolkata,2023-10-20,Trailer,952,Clear,Light,0,0
Lucknow,Delhi,2023-10-12,Lorry,470,Clear,Heavy,1,2
Bangalore,Ahmedabad,2023-10-15,Truck,1235,Rain,Moderate,1,2
Bangalore,Hyderabad,2023-07-18,Truck,1808,Fog,Moderate,1,3
Delhi,Chennai,2024-03-06,Container,1882,Clear,Moderate,1,1
Ahmedabad,Mumbai,2023-09-24,Trailer,1022,Clear,Light,1,2
Bangalore,Hyderabad,2024-01-03,Lorry,1109,Clear,Light,0,0
Pune,Jaipur,2023-12-27,Trailer,718,Clear,Moderate,1,1
Hyderabad,Lucknow,2024-03-01,Trailer,229,Clear,Light,0,0
Bangalore,Hyderabad,2023-02-28,Lorry,1641,Rain,Moderate,1,2
Mumbai,Jaipur,2024-03-25,Trailer,642,Clear,Light,0,0
Kolkata,Ahmedabad,2023-01-16,Trailer,1402,Rain,Light,1,1
Jaipur,Pune,2023-12-10,Truck,1263,Clear,Light,1,5
Kolkata,Ahmedabad,2023-09-28,Truck,1282,Clear,Light,1,2
Jaipur,Ahmedabad,2023-06-09,Container,1834,Fog,Heavy,1,4
Ahmedabad,Chennai,2023-04-12,Trailer,1131,Clear,Light,0,0
Chennai,Lucknow,2023-05-06,Trailer,527,Clear,Moderate,1,1
Bangalore,Pune,2023-07-07,Lorry,1685,Clear,Light,0,0
Kolkata,Delhi,2023-07-19,Container,1530,Clear,Light,0,0
Pune,Delhi,2023-05-15,Truck,1969,Clear,Moderate,1,1
Jaipur,Bangalore,2023-12-20,Truck,306,Clear,Light,0,0
Delhi,Kolkata,2024-01-15,Container,1063,Clear,Light,0,0
Kolkata,Bangalore,2023-05-30,Trailer,1489,Clear,Light,0,0
Bangalore,Hyderabad,2024-05-30,Truck,1561,Clear,Light,1,5
Pune,Lucknow,2023-02-22,Trailer,952,Clear,Moderate,1,1
Jaipur,Kolkata,2024-05-26,Truck,1445,Clear,Moderate,1,1
Mumbai,Pune,2023-08-27,Trailer,1737,Clear,Light,0,0
Lucknow,Chennai,2023-10-09,Truck,855,Clear,Moderate,1,-1
Kolkata,Lucknow,2023-05-11,Container,573,Fog,Heavy,1,4
Pune,Jaipur,2023-12-11,Lorry,1855,Clear,Light,0,0
Jaipur,Ahmedabad,2023-08-31,Container,584,Clear,Heavy,1,2
Bangalore,Ahmedabad,2024-02-27,Lorry,211,Clear,Light,1,-3
Delhi,Ahmedabad,2023-07-01,Trailer,623,Fog,Heavy,1,4
Pune,Mumbai,2023-05-14,Trailer,272,Clear,Moderate,1,1
Lucknow,Pune,2024-01-11,Lorry,721,Clear,Moderate,1,1
Hyderabad,Mumbai,2023-03-15,Trailer,884,Clear,Moderate,1,4
Delhi,Chennai,2023-05-19,Container,333,Storm,Light,1,3
Kolkata,Bangalore,2023-05-02,Lorry,526,Clear,Light,0,0
Chennai,Bangalore,2023-07-19,Trailer,446,Clear,Moderate,1,3
Delhi,Lucknow,2023-04-14,Lorry,1117,Clear,Light,0,0
Mumbai,Bangalore,2023-05-01,Truck,657,Clear,Moderate,1,1
Kolkata,Ahmedabad,2023-10-18,Container,697,Clear,Moderate,1,3
Hyderabad,Delhi,2024-01-12,Lorry,403,Storm,Light,1,3
Chennai,Hyderabad,2023-02-13,Truck,1179,Clear,Heavy,1,2
Jaipur,Kolkata,2023-12-22,Lorry,1278,Clear,Light,0,0
Lucknow,Delhi,2024-05-06,Lorry,1109,Clear,Light,0,0
Jaipur,Mumbai,2023-12-03,Truck,799,Clear,Light,0,0
Kolkata,Ahmedabad,2023-08-14,Container,1479,Clear,Moderate,1,1
Delhi,Bangalore,2024-05-10,Container,1814,Fog,Light,1,2
Ahmedabad,Pune,2023-08-03,Trailer,1200,Clear,Moderate,1,3
Hyderabad,Jaipur,2023-02-13,Trailer,1965,Storm,Light,1,3
Bangalore,Jaipur,2023-05-13,Truck,1327,Clear,Light,1,4
Mumbai,Bangalore,2023-02-11,Trailer,1436,Clear,Light,1,3
Mumbai,Pune,2024-01-31,Lorry,1617,Clear,Moderate,1,1
Jaipur,Delhi,2023-07-08,Container,695,Clear,Light,0,0
Bangalore,Chennai,2023-12-20,Lorry,1076,Fog,Light,1,2
Bangalore,Ahmedabad,2024-01-27,Trailer,793,Rain,Moderate,1,2
Mumbai,Hyderabad,2023-10-13,Truck,1090,Storm,Moderate,1,4
Lucknow,Ahmedabad,2023-12-19,Container,628,Clear,Light,1,2
Ahmedabad,Chennai,2023-06-22,Trailer,1985,Rain,Moderate,1,2
Chennai,Bangalore,2024-02-28,Container,1919,Rain,Light,1,1
Mumbai,Pune,2023-10-08,Truck,828,Clear,Moderate,1,1
Bangalore,Kolkata,2023-02-22,Trailer,1631,Rain,Light,1,1
Pune,Bangalore,2024-02-26,Truck,441,Rain,Moderate,1,2
Kolkata,Delhi,2023-11-09,Container,1542,Clear,Heavy,1,2
Ahmedabad,Delhi,2023-07-25,Lorry,723,Rain,Light,1,1
Bangalore,Jaipur,2024-03-31,Lorry,1142,Clear,Light,0,0
Pune,Mumbai,2023-05-14,Truck,1641,Clear,Light,0,0
Pune,Mumbai,2024-04-03,Trailer,363,Clear,Light,0,0
Jaipur,Ahmedabad,2024-05-31,Lorry,423,Clear,Moderate,1,1
Chennai,Ahmedabad,2023-11-25,Trailer,656,Fog,Heavy,1,6
Chennai,Kolkata,2023-10-06,Lorry,1750,Clear,Heavy,1,4
Delhi,Ahmedabad,2024-02-13,Truck,888,Rain,Moderate,1,2
Chennai,Kolkata,2023-07-13,Container,1925,Clear,Moderate,1,6
Bangalore,Pune,2023-07-24,Trailer,824,Rain,Light,1,5
Lucknow,Pune,2023-04-18,Truck,1838,Fog,Moderate,1,-3
Pune,Jaipur,2023-05-05,Trailer,388,Clear,Light,0,0
Ahmedabad,Kolkata,2023-05-18,Lorry,774,Clear,Light,1,3
Bangalore,Kolkata,2024-03-25,Lorry,312,Clear,Light,0,0
Mumbai,Jaipur,2023-07-29,Trailer,946,Clear,Light,0,0
Hyderabad,Bangalore,2023-07-21,Container,542,Clear,Light,0,0
Pune,Jaipur,2023-10-16,Lorry,1432,Clear,Moderate,1,1
Mumbai,Kolkata,2023-04-30,Trailer,637,Clear,Moderate,1,1
Jaipur,Chennai,2023-06-07,Truck,1210,Clear,Light,0,0
Ahmedabad,Kolkata,2023-08-25,Truck,1493,Rain,Light,1,1
Lucknow,Delhi,2023-01-03,Lorry,565,Clear,Light,0,0
Pune,Kolkata,2023-08-29,Lorry,1354,Clear,Heavy,1,6
Hyderabad,Chennai,2023-02-02,Trailer,940,Rain,Heavy,1,3
Ahmedabad,Jaipur,2023-02-01,Trailer,767,Clear,Heavy,1,7
Ahmedabad,Mumbai,2024-03-12,Lorry,1684,Clear,Moderate,1,1
Bangalore,Jaipur,2024-02-12,Truck,1837,Storm,Moderate,1,4
Lucknow,Hyderabad,2023-01-11,Lorry,1476,Rain,Heavy,1,3
Lucknow,Mumbai,2023-05-04,Lorry,872,Clear,Light,0,0
Bangalore,Kolkata,2024-03-10,Container,1667,Clear,Light,0,0
Bangalore,Delhi,2023-04-14,Container,687,Clear,Light,0,0
Mumbai,Chennai,2024-04-22,Container,217,Clear,Light,1,4
Pune,Lucknow,2024-04-05,Trailer,901,Clear,Heavy,1,4
Chennai,Bangalore,2024-01-20,Trailer,1526,Clear,Light,0,0
Delhi,Hyderabad,2023-10-22,Truck,1556,Clear,Moderate,1,1
Mumbai,Bangalore,2023-09-18,Container,1742,Rain,Light,1,1
Delhi,Mumbai,2023-06-11,Container,1078,Fog,Moderate,1,3
Mumbai,Lucknow,2023-06-10,Container,1183,Clear,Light,1,3
Delhi,Bangalore,2024-05-14,Container,252,Clear,Moderate,1,1
Delhi,Ahmedabad,2024-01-01,Lorry,928,Storm,Heavy,1,5
Lucknow,Hyderabad,2024-04-14,Lorry,1785,Clear,Light,0,0
Lucknow,Hyderabad,2023-01-01,Container,1082,Storm,Light,1,3
Delhi,Lucknow,2024-01-17,Container,1147,Clear,Light,0,0
Mumbai,Hyderabad,2023-11-15,Truck,1893,Rain,Light,1,5
Kolkata,Bangalore,2023-08-21,Lorry,849,Clear,Light,0,0
Jaipur,Lucknow,2023-06-07,Trailer,1953,Rain,Moderate,1,4
Pune,Bangalore,2023-01-07,Truck,527,Rain,Moderate,1,2
Jaipur,Hyderabad,2023-09-01,Lorry,463,Rain,Light,1,4
Bangalore,Jaipur,2024-04-23,Lorry,408,Clear,Light,1,2
Chennai,Ahmedabad,2023-10-12,Lorry,1067,Rain,Heavy,1,3
Chennai,Delhi,2024-05-12,Trailer,1983,Clear,Light,0,0
Chennai,Pune,2023-11-12,Container,1517,Clear,Light,1,2
Pune,Delhi,2023-04-07,Trailer,474,Rain,Light,1,1
Bangalore,Mumbai,2023-08-03,Truck,1084,Fog,Light,1,2
Bangalore,Mumbai,2024-03-31,Lorry,1363,Fog,Light,1,7
Bangalore,Lucknow,2023-03-29,Container,1425,Clear,Heavy,1,2
Bangalore,Chennai,2023-11-15,Trailer,634,Clear,Light,0,0
Jaipur,Mumbai,2023-03-23,Trailer,1352,Clear,Moderate,1,1
Mumbai,Lucknow,2024-05-31,Container,1415,Clear,Moderate,1,4
Jaipur,Lucknow,2024-02-17,Truck,1058,Storm,Light,1,3
Kolkata,Ahmedabad,2024-01-19,Trailer,1755,Fog,Heavy,1,4
Delhi,Jaipur,2023-08-29,Truck,1129,Clear,Light,1,5
Delhi,Chennai,2024-02-29,Trailer,580,Clear,Moderate,1,5
Jaipur,Mumbai,2023-04-15,Lorry,1275,Clear,Moderate,1,1
Kolkata,Pune,2024-03-05,Lorry,1911,Clear,Moderate,1,1
Jaipur,Delhi,2023-02-15,Lorry,1548,Clear,Moderate,1,1
Pune,Kolkata,2024-05-22,Truck,525,Clear,Light,0,0
Jaipur,Mumbai,2023-05-19,Truck,1120,Clear,Moderate,1,5
Bangalore,Chennai,2024-02-23,Container,1123,Clear,Moderate,1,6
Pune,Ahmedabad,2024-02-23,Container,589,Clear,Heavy,1,2
Mumbai,Jaipur,2024-01-27,Trailer,1660,Rain,Moderate,1,6
Ahmedabad,Pune,2024-01-04,Lorry,1026,Storm,Light,1,3
Bangalore,Mumbai,2023-12-17,Container,1597,Fog,Light,1,2
Pune,Mumbai,2023-08-17,Trailer,1131,Clear,Heavy,1,2
Kolkata,Ahmedabad,2023-05-17,Container,1235,Clear,Light,1,4
Bangalore,Chennai,2023-07-17,Truck,1316,Fog,Moderate,1,6
Pune,Bangalore,2024-06-01,Container,335,Fog,Light,1,2
Jaipur,Hyderabad,2023-02-23,Container,753,Fog,Moderate,1,3
Delhi,Bangalore,2023-02-13,Truck,1464,Clear,Moderate,1,1
Mumbai,Delhi,2023-11-19,Container,917,Clear,Moderate,1,1
Ahmedabad,Jaipur,2023-10-29,Trailer,1870,Rain,Light,1,1
Chennai,Lucknow,2023-02-06,Container,1778,Clear,Light,1,4
Ahmedabad,Mumbai,2024-04-21,Truck,703,Clear,Moderate,1,1
Ahmedabad,Jaipur,2023-01-16,Lorry,358,Clear,Light,0,0
Mumbai,Lucknow,2023-09-10,Truck,1766,Clear,Light,0,0
Ahmedabad,Hyderabad,2023-08-12,Lorry,1991,Rain,Light,1,1
Hyderabad,Kolkata,2023-09-01,Trailer,1609,Rain,Moderate,1,2
Chennai,Ahmedabad,2023-12-15,Trailer,829,Clear,Moderate,1,1
Hyderabad,Jaipur,2024-02-06,Trailer,367,Clear,Light,0,0
Lucknow,Chennai,2024-04-28,Trailer,465,Clear,Light,0,0
Lucknow,Bangalore,2023-10-13,Container,1797,Clear,Light,0,0
Pune,Jaipur,2024-06-01,Truck,457,Rain,Moderate,1,2
Mumbai,Bangalore,2023-03-08,Lorry,1366,Rain,Heavy,1,3
Hyderabad,Lucknow,2023-07-24,Lorry,1665,Clear,Light,0,0
Bangalore,Delhi,2023-02-11,Trailer,919,Rain,Light,1,5
Pune,Mumbai,2023-02-02,Container,508,Clear,Light,0,0
Mumbai,Pune,2024-01-27,Lorry,699,Clear,Heavy,1,2
Ahmedabad,Chennai,2023-07-15,Lorry,1287,Clear,Moderate,1,1
Hyderabad,Kolkata,2023-01-28,Trailer,840,Clear,Moderate,1,1
Pune,Hyderabad,2023-12-28,Lorry,1743,Rain,Light,1,6
Hyderabad,Mumbai,2023-05-18,Truck,1310,Clear,Light,0,0
Lucknow,Ahmedabad,2024-01-12,Trailer,1962,Rain,Light,1,5
Mumbai,Kolkata,2023-12-16,Trailer,1832,Clear,Light,0,0
Lucknow,Ahmedabad,2023-07-07,Trailer,376,Rain,Heavy,1,5
Pune,Chennai,2023-07-12,Trailer,1882,Rain,Moderate,1,2
Bangalore,Pune,2023-04-08,Lorry,417,Clear,Light,0,0
Chennai,Jaipur,2024-05-29,Trailer,956,Clear,Light,1,3
Kolkata,Ahmedabad,2024-01-07,Trailer,1798,Clear,Moderate,1,5
Bangalore,Pune,2023-07-16,Trailer,1832,Rain,Moderate,1,2
Chennai,Pune,2023-05-19,Container,218,Clear,Moderate,1,6
Lucknow,Kolkata,2023-10-13,Truck,917,Rain,Moderate,1,2
Lucknow,Jaipur,2023-08-20,Container,924,Clear,Moderate,1,1
Ahmedabad,Jaipur,2023-08-17,Trailer,1733,Rain,Light,1,1
Ahmedabad,Hyderabad,2023-05-10,Container,521,Clear,Moderate,1,1
Mumbai,Kolkata,2023-11-21,Lorry,1311,Clear,Moderate,1,-1
Chennai,Jaipur,2024-05-08,Trailer,540,Clear,Moderate,1,1
Kolkata,Chennai,2024-04-13,Truck,451,Clear,Moderate,1,1
Mumbai,Chennai,2023-09-04,Container,799,Clear,Heavy,1,2
Jaipur,Mumbai,2023-05-06,Lorry,1240,Clear,Heavy,1,6
Jaipur,Pune,2023-04-06,Lorry,1217,Clear,Light,0,0
Mumbai,Hyderabad,2023-04-05,Lorry,1470,Rain,Heavy,1,6
Lucknow,Pune,2023-05-08,Trailer,284,Fog,Moderate,1,3
Ahmedabad,Jaipur,2024-01-28,Lorry,1678,Clear,Moderate,1,1
Lucknow,Jaipur,2023-06-24,Truck,834,Rain,Light,1,1
Delhi,Mumbai,2023-11-23,Container,824,Clear,Light,1,4
Jaipur,Pune,2023-03-20,Container,678,Clear,Moderate,1,3
Mumbai,Delhi,2024-02-09,Lorry,780,Clear,Light,0,0
Delhi,Lucknow,2024-05-22,Container,1597,Rain,Light,1,5
Jaipur,Bangalore,2024-04-24,Trailer,1979,Clear,Heavy,1,2
Bangalore,Ahmedabad,2024-02-13,Lorry,1549,Fog,Moderate,1,3
Chennai,Ahmedabad,2023-09-30,Truck,1225,Clear,Light,1,3
Jaipur,Kolkata,2023-07-07,Lorry,1821,Clear,Light,0,0
Delhi,Lucknow,2024-03-24,Truck,1374,Clear,Light,0,0
Kolkata,Chennai,2023-11-17,Trailer,1697,Clear,Moderate,1,1
Mumbai,Lucknow,2024-04-16,Truck,832,Clear,Moderate,1,1
Ahmedabad,Jaipur,2023-12-31,Truck,229,Clear,Light,0,0
Lucknow,Jaipur,2023-07-03,Truck,1676,Clear,Light,0,0
Delhi,Chennai,2024-05-09,Container,870,Clear,Light,0,0
Pune,Jaipur,2023-10-13,Trailer,1017,Clear,Light,0,0
Ahmedabad,Jaipur,2024-02-05,Trailer,1463,Clear,Light,0,0
Chennai,Lucknow,2024-04-10,Lorry,814,Clear,Light,0,0
Kolkata,Lucknow,2023-03-08,Lorry,1359,Clear,Light,1,5
Mumbai,Hyderabad,2023-08-30,Lorry,1576,Clear,Moderate,1,1
Pune,Delhi,2024-05-21,Container,820,Clear,Heavy,1,4
Hyderabad,Jaipur,2023-03-23,Container,804,Rain,Light,1,1
Lucknow,Hyderabad,2023-11-29,Truck,736,Clear,Heavy,1,2
Ahmedabad,Jaipur,2023-11-24,Container,499,Clear,Moderate,1,1
Ahmedabad,Jaipur,2023-01-12,Lorry,944,Clear,Heavy,1,2
Kolkata,Chennai,2024-01-04,Lorry,1544,Clear,Light,0,0
Jaipur,Pune,2024-04-22,Trailer,494,Clear,Light,0,0
Mumbai,Bangalore,2023-01-24,Trailer,1034,Fog,Moderate,1,3
Chennai,Ahmedabad,2023-09-23,Trailer,1552,Rain,Light,1,5
Delhi,Jaipur,2023-03-18,Container,321,Clear,Light,1,4
Mumbai,Pune,2023-12-15,Lorry,1224,Clear,Light,1,5
Kolkata,Jaipur,2023-03-20,Container,383,Clear,Moderate,1,3
Chennai,Mumbai,2023-08-08,Trailer,1970,Clear,Light,0,0
Ahmedabad,Mumbai,2023-12-03,Lorry,565,Clear,Light,0,0
Pune,Lucknow,2024-02-07,Truck,894,Rain,Heavy,1,3
Bangalore,Pune,2024-04-01,Trailer,1684,Clear,Moderate,1,6
Delhi,Bangalore,2023-01-13,Trailer,1431,Clear,Light,0,0
Jaipur,Hyderabad,2023-01-21,Truck,708,Rain,Heavy,1,3
Hyderabad,Pune,2023-03-19,Lorry,657,Clear,Light,0,0
Pune,Jaipur,2024-01-21,Truck,659,Clear,Light,0,0
Ahmedabad,Delhi,2023-01-18,Container,1071,Clear,Light,1,4
Hyderabad,Lucknow,2023-04-18,Trailer,494,Clear,Light,0,0
Pune,Lucknow,2023-01-21,Lorry,1723,Rain,Heavy,1,3
Jaipur,Kolkata,2023-05-06,Trailer,700,Clear,Light,0,0
Pune,Mumbai,2023-01-02,Truck,975,Clear,Light,0,0
Kolkata,Chennai,2023-09-10,Container,1857,Clear,Light,0,0
Kolkata,Ahmedabad,2024-02-08,Container,1675,Clear,Moderate,1,1
Chennai,Ahmedabad,2023-10-25,Truck,1444,Fog,Light,1,6
Delhi,Bangalore,2023-12-08,Container,1122,Rain,Moderate,1,4
Chennai,Jaipur,2023-04-26,Truck,913,Fog,Light,1,2
Jaipur,Hyderabad,2023-02-10,Trailer,1897,Clear,Light,0,0
Kolkata,Delhi,2023-05-30,Container,738,Clear,Heavy,1,2
Pune,Hyderabad,2023-01-27,Truck,759,Clear,Heavy,1,7
Bangalore,Jaipur,2023-12-03,Lorry,1768,Rain,Moderate,1,2
Pune,Ahmedabad,2023-08-07,Container,1218,Rain,Moderate,1,2
Jaipur,Delhi,2023-11-18,Lorry,1515,Clear,Moderate,1,1
Hyderabad,Kolkata,2023-03-04,Lorry,929,Clear,Light,0,0
Hyderabad,Jaipur,2023-10-31,Trailer,1066,Clear,Moderate,1,1
Kolkata,Delhi,2024-02-12,Truck,368,Clear,Light,1,4
Chennai,Hyderabad,2023-06-11,Container,715,Clear,Moderate,1,1
Jaipur,Kolkata,2023-05-06,Container,579,Clear,Heavy,1,2
Bangalore,Mumbai,2023-01-10,Container,633,Clear,Light,0,0
Chennai,Bangalore,2023-03-24,Lorry,1754,Clear,Light,0,0
Chennai,Kolkata,2023-06-06,Trailer,766,Clear,Light,0,0
Pune,Lucknow,2024-03-19,Truck,1634,Clear,Light,1,5
Pune,Jaipur,2023-12-22,Lorry,1234,Clear,Light,0,0
Bangalore,Hyderabad,2023-05-16,Container,1679,Clear,Moderate,1,1
Delhi,Bangalore,2024-04-27,Truck,625,Clear,Heavy,1,4
Kolkata,Delhi,2023-11-27,Container,1588,Clear,Light,1,4
Delhi,Jaipur,2023-03-06,Lorry,680,Clear,Heavy,1,2
Mumbai,Jaipur,2023-01-15,Trailer,298,Clear,Moderate,1,1
Chennai,Bangalore,2023-01-08,Lorry,1004,Clear,Light,0,0
Ahmedabad,Pune,2024-03-06,Trailer,511,Clear,Light,0,0
Jaipur,Bangalore,2024-02-09,Lorry,955,Rain,Heavy,1,3
Mumbai,Lucknow,2024-05-22,Truck,977,Clear,Moderate,1,6
Hyderabad,Jaipur,2023-10-08,Truck,597,Clear,Moderate,1,1
Mumbai,Lucknow,2023-07-17,Lorry,955,Rain,Light,1,1
Bangalore,Chennai,2023-04-02,Container,464,Clear,Moderate,1,3
Chennai,Hyderabad,2023-02-18,Container,378,Fog,Light,1,2
Mumbai,Jaipur,2023-10-03,Truck,233,Clear,Moderate,1,1
Lucknow,Jaipur,2023-06-12,Truck,867,Clear,Light,1,4
Hyderabad,Jaipur,2024-03-28,Truck,1642,Clear,Light,0,0
Bangalore,Lucknow,2024-04-30,Container,731,Clear,Moderate,1,1
Bangalore,Kolkata,2023-02-01,Lorry,878,Storm,Heavy,1,5
Bangalore,Chennai,2023-03-04,Container,1120,Rain,Heavy,1,3
Ahmedabad,Chennai,2023-09-29,Container,372,Clear,Moderate,1,1
Pune,Mumbai,2024-03-25,Container,822,Clear,Light,0,0
Ahmedabad,Lucknow,2023-10-17,Truck,287,Clear,Moderate,1,6
Delhi,Kolkata,2024-02-28,Lorry,2000,Rain,Moderate,1,2
Bangalore,Jaipur,2023-04-28,Trailer,1831,Rain,Light,1,5
Lucknow,Chennai,2024-03-20,Container,557,Clear,Moderate,1,4
Pune,Kolkata,2024-05-06,Truck,1449,Clear,Moderate,1,1
Ahmedabad,Bangalore,2023-02-10,Truck,1534,Clear,Heavy,1,7
Lucknow,Ahmedabad,2023-03-10,Lorry,1646,Clear,Heavy,1,2
Kolkata,Lucknow,2024-04-27,Truck,752,Clear,Light,1,4
Pune,Chennai,2024-03-20,Lorry,334,Storm,Light,1,-7
Mumbai,Bangalore,2023-08-21,Trailer,557,Clear,Moderate,1,1
Mumbai,Kolkata,2023-06-30,Trailer,1247,Clear,Moderate,1,4
Mumbai,Hyderabad,2024-04-05,Container,1579,Clear,Moderate,1,1
